C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,Solution
3,0,5,0,0,0,0,0,1,0,0,8,0,0,2,6,0,0,0,0,0,0,0,0,0,8,9,0,0,7,0,9,5,0,0,2,9,0,0,2,0,0,0,3,8,1,0,0,8,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,7,5,1,0,9,0,365
0,4,0,0,0,0,1,0,0,1,3,0,2,0,0,0,8,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,3,0,0,0,6,4,0,0,0,9,6,8,0,0,0,2,0,0,0,0,0,0,4,0,0,0,8,6,5,9,0,0,0,0,0,3,0,0,0,0,0,249
1,0,0,0,6,0,0,0,0,2,0,0,0,3,0,5,0,9,0,0,6,5,0,2,8,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,2,8,0,3,7,0,0,7,6,0,0,0,9,8,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,1,0,6,195
0,4,0,0,0,1,6,0,5,0,0,0,0,0,5,0,0,2,2,0,0,7,0,9,0,0,0,0,0,3,0,0,2,0,7,1,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,6,0,0,6,0,5,0,0,0,4,0,5,0,0,0,0,4,2,0,0,1,0,0,0,9,0,0,0,3,748
9,8,0,5,7,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,8,9,0,0,0,3,7,0,0,9,0,0,6,1,6,0,1,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,7,0,3,2,0,0,0,0,1,6,5,0,0,6,0,0,0,0,9,983
9,0,0,0,0,0,4,3,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,2,0,8,7,0,0,3,0,0,0,0,0,0,0,7,0,0,8,0,5,2,0,0,1,0,0,0,4,0,0,9,0,0,0,4,0,0,0,0,0,0,0,5,0,2,3,0,0,8,4,0,8,0,0,0,2,5,0,967
0,0,0,2,0,0,6,0,0,0,6,1,4,0,0,0,0,0,3,0,0,8,0,0,1,0,9,0,3,0,9,0,0,0,7,0,0,0,0,0,2,0,8,0,0,6,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,1,0,0,0,6,0,0,0,4,0,0,0,0,3,0,0,2,598
0,0,0,0,0,0,0,9,6,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,5,0,1,0,3,0,8,7,1,3,0,0,2,0,0,0,0,0,0,2,8,9,0,0,3,0,3,0,0,0,0,0,7,0,5,0,0,0,0,0,0,1,6,0,0,1,0,7,4,0,0,0,0,521
0,0,7,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,5,3,0,0,2,0,0,0,0,8,0,0,0,4,5,7,3,0,0,0,1,0,7,0,0,6,0,0,5,0,0,0,0,2,0,0,1,8,0,7,0,0,0,4,0,4,7,2,0,0,0,5,0,0,6,0,5,0,0,0,0,0,0,917
0,4,6,8,5,0,0,0,0,1,0,0,0,6,0,0,0,7,0,9,0,0,0,2,4,0,0,0,6,0,0,9,0,0,0,0,2,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,4,7,0,5,0,0,9,2,0,0,0,2,9,7,0,0,0,8,0,0,8,4,0,0,0,5,6,746
0,0,2,6,0,0,4,5,0,1,0,0,0,0,0,0,0,2,0,9,6,7,0,0,1,0,0,0,0,0,0,3,0,9,2,0,6,0,9,0,0,0,7,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,2,0,0,0,0,0,0,0,3,0,4,0,0,0,832
0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5,0,5,7,0,0,0,0,6,0,0,0,0,0,0,7,0,1,8,0,2,0,8,3,0,5,0,0,0,0,6,0,0,4,0,0,0,0,7,0,0,0,6,0,5,0,0,0,0,4,0,0,0,0,1,0,0,5,2,8,0,7,4,0,0,826
0,1,7,0,0,0,0,0,0,6,0,0,1,0,0,0,0,7,4,0,3,0,7,0,0,0,8,0,7,5,6,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,3,0,0,3,0,8,0,4,0,0,9,5,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,8,0,3,517
3,0,0,0,5,1,0,4,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,9,0,4,5,0,0,0,7,0,0,8,0,0,0,8,0,0,0,1,0,0,7,0,9,0,3,0,0,0,0,0,4,1,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,6,0,1,5,0,369
7,0,3,0,1,4,0,0,0,0,2,0,0,9,7,0,0,0,0,0,1,0,3,8,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,8,4,0,0,2,0,0,0,9,0,0,0,0,0,0,0,8,0,0,7,0,0,0,3,2,0,0,3,2,0,0,5,1,7,0,793
0,0,0,7,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0,5,0,3,8,1,0,0,0,0,3,0,5,0,8,0,0,2,0,8,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,5,0,8,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,7,6,9,0,693
3,8,0,0,5,0,0,4,0,0,2,0,1,0,3,0,8,0,0,0,0,0,0,7,0,0,0,6,0,3,0,0,0,0,0,0,5,0,0,8,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,0,0,4,0,0,0,1,3,0,0,7,0,0,0,4,8,6,0,2,1,0,0,7,0,381
0,9,0,5,0,0,0,0,0,0,0,7,8,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,7,0,0,0,4,0,0,0,0,8,4,3,0,1,6,0,0,1,0,0,0,5,0,8,0,0,0,0,0,6,0,0,0,0,0,6,0,8,0,0,3,7,1,0,0,0,3,0,0,0,0,0,6,891
0,0,3,0,9,2,0,1,0,0,6,0,0,0,5,0,0,8,0,0,0,0,8,0,6,9,0,0,0,6,0,5,0,3,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,3,1,0,0,0,0,7,9,0,9,0,0,0,0,8,0,1,0,0,0,0,2,0,0,0,0,783
9,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,4,5,2,0,0,0,0,0,6,0,0,0,0,1,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,4,5,0,0,9,3,0,0,7,6,9,4,0,0,0,0,3,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,1,7,937
0,9,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,4,1,0,0,0,8,6,0,0,0,5,0,0,0,0,2,0,9,7,2,0,0,0,6,8,0,5,0,0,8,0,0,0,4,7,0,5,0,0,0,1,0,0,0,8,0,0,0,7,0,4,0,9,0,9,0,0,2,0,5,0,0,6,695
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,1,9,0,0,0,0,7,0,5,3,0,0,0,0,4,9,0,4,0,0,8,0,1,0,1,0,0,9,0,0,0,5,3,0,0,7,0,3,0,0,0,0,6,0,0,8,7,4,9,0,0,0,0,0,0,0,6,0,8,0,273
0,0,0,1,0,0,0,2,6,9,0,0,0,8,0,3,0,7,0,1,0,0,0,2,9,0,8,0,0,0,0,7,6,0,0,0,0,0,0,3,0,0,5,8,1,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,1,0,2,0,0,0,0,6,0,0,3,0,358
0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,9,0,0,0,8,9,1,0,0,2,0,0,0,9,7,4,5,0,0,0,5,0,7,2,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,2,4,8,0,1,0,0,3,9,0,0,0,0,7,0,0,8,0,3,0,0,0,0,0,0,0,196
7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,0,0,0,1,0,0,0,2,5,0,0,0,0,0,6,1,0,2,2,0,6,7,0,0,0,5,4,0,0,9,0,0,0,8,0,0,9,0,0,2,0,0,0,0,6,0,2,0,0,0,0,4,8,0,5,0,7,0,4,9,0,0,0,751
0,6,9,0,0,2,0,0,1,0,2,1,0,5,0,0,0,0,7,0,0,0,0,1,0,0,9,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,6,0,0,0,0,1,2,0,3,0,0,0,0,4,0,0,0,0,0,7,0,0,0,5,0,0,2,9,4,0,0,569
4,0,5,0,0,0,0,0,2,0,3,2,0,0,0,0,1,8,0,0,7,0,0,0,0,9,4,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,4,0,1,0,0,7,2,0,0,0,0,0,0,0,0,5,4,0,7,0,0,4,8,0,3,1,0,0,0,465
0,0,0,0,2,0,0,0,0,3,4,8,0,7,0,2,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7,0,5,0,0,0,3,0,1,8,0,6,7,0,6,0,0,8,0,2,0,0,2,4,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,617
1,0,0,0,0,0,3,0,0,3,0,0,0,2,5,0,0,0,9,4,5,0,0,0,0,0,0,0,0,0,8,0,3,0,0,6,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,5,0,3,4,0,0,0,0,0,0,0,6,0,2,3,0,0,8,0,0,8,0,5,0,9,0,0,2,126
0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,8,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,8,0,5,0,0,6,0,1,5,0,0,0,2,7,0,0,0,0,0,8,0,9,1,0,0,0,0,0,3,0,0,0,0,0,3,1,2,0,0,0,376
0,0,0,4,0,0,0,6,0,0,0,8,0,7,0,0,0,0,5,0,0,1,0,3,0,0,0,3,0,0,0,0,5,6,0,4,0,0,0,0,0,1,0,0,0,7,6,0,2,0,0,1,8,5,0,0,0,8,0,0,0,5,0,2,0,0,0,0,0,8,4,1,0,0,0,0,0,6,0,0,3,913
0,0,1,0,7,0,0,9,3,0,0,8,0,0,5,0,0,0,3,7,0,0,0,4,8,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,9,5,0,0,0,0,0,7,0,8,0,0,0,0,0,1,6,7,4,0,1,8,0,3,0,0,451
0,0,0,0,0,0,6,0,3,0,8,0,0,2,0,0,0,0,0,7,0,9,0,0,0,5,0,0,0,4,7,9,0,0,0,0,0,0,3,8,0,0,7,0,0,0,0,7,6,0,2,8,0,0,0,0,0,0,4,8,0,3,0,0,2,8,0,0,0,5,0,0,0,0,0,2,0,0,0,0,9,549
0,0,0,0,7,0,0,6,0,0,0,2,4,0,0,5,9,0,6,0,0,5,0,0,0,0,0,2,0,7,0,0,4,0,0,8,0,0,6,8,1,0,0,7,0,0,4,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,9,0,2,0,9,0,0,0,0,2,0,0,0,539
0,0,0,0,4,0,8,0,3,0,0,6,0,0,0,0,0,5,0,0,8,0,0,9,0,1,4,8,0,2,1,6,0,3,0,0,0,1,0,0,0,0,0,0,0,9,4,0,2,0,8,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,6,0,0,0,0,5,0,9,0,0,0,6,0,591
1,0,0,7,0,0,6,0,8,0,9,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,6,0,9,0,0,0,0,5,3,0,0,4,0,3,0,4,0,1,9,7,0,0,0,7,1,0,8,0,5,0,0,8,0,0,3,0,0,4,0,0,9,0,0,0,0,0,0,0,0,145
0,0,0,0,9,0,0,0,1,0,1,0,0,0,2,5,7,0,0,0,0,0,0,0,0,3,0,0,2,3,5,7,0,8,0,0,9,0,7,0,0,0,0,4,0,0,5,4,3,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,5,0,0,3,0,0,0,7,0,0,1,0,0,0,8,0,238
0,1,0,0,0,0,0,0,4,0,0,0,0,8,6,5,3,0,0,0,0,0,0,4,0,9,0,0,0,0,8,4,0,6,1,0,0,0,0,0,6,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,9,0,8,4,0,3,9,0,0,0,3,1,0,8,0,0,0,7,0,0,0,0,0,0,516
1,0,4,0,0,2,6,0,0,0,2,0,0,0,0,0,9,5,0,7,6,0,0,0,0,0,0,0,4,0,0,7,0,0,5,0,0,0,3,2,0,1,0,7,0,0,0,0,6,0,0,4,0,2,0,0,0,0,5,4,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,154
9,0,0,0,0,8,0,0,1,1,0,0,0,6,0,0,4,0,0,0,0,0,4,3,2,0,0,4,0,0,8,0,7,0,0,0,0,0,0,0,2,0,8,0,0,3,0,0,0,0,0,0,9,0,0,0,0,4,0,1,6,0,0,0,0,0,6,3,0,0,0,0,0,6,0,0,0,2,0,1,7,943
1,0,0,0,6,0,0,0,0,2,0,9,1,0,0,6,0,0,0,8,0,0,0,2,0,0,0,0,4,0,0,0,0,0,8,0,6,0,0,0,9,0,4,0,1,0,0,0,0,0,6,0,0,0,7,0,0,9,0,1,2,0,0,0,0,0,0,8,5,0,0,0,9,0,4,0,7,0,0,0,0,175
0,0,0,8,0,0,0,2,0,1,0,0,0,9,2,0,0,0,4,0,3,0,0,7,8,0,9,3,0,0,0,0,6,0,7,0,0,1,0,0,2,0,6,4,0,0,0,4,3,0,0,0,0,0,9,8,1,0,0,0,0,0,0,6,0,0,9,0,0,2,0,0,0,0,0,0,0,4,0,0,0,596
